Exchange,Name,Trading_symbol,isin
BSE,BEST AGROLIFE LIMITED,BESTAGRO,INE052T01013
BSE,BF INVESTMENT LTD.,BFINVEST,INE878K01010
BSE,BF UTILITIES LTD.,BFUTILITIE,INE243D01012
BSE,BGR ENERGY SYSTEMS LTD.,BGRENERGY,INE661I01014
BSE,BHANSALI ENGINEERING POLYMERS,BEPL,INE922A01025
BSE,BHARAT ELECTRONICS LTD.,BEL,INE263A01024
BSE,BHARAT FORGE LTD.,BHARATFORG,INE465A01025
BSE,BHARAT GEARS LTD.,BHARATGEAR,INE561C01019
BSE,BHARAT HEAVY ELECTRICALS LTD.,BHEL,INE257A01026
BSE,BHARAT PETROLEUM CORPORATION L,BPCL,INE029A01011
BSE,BHARAT RASAYAN LTD.,BHARATRAS,INE838B01013
BSE,BHARTI AIRTEL LTD.,BHARTIARTL,INE397D01024
BSE,BIMETAL BEARINGS LTD.,BIMETAL,INE469A01019
BSE,BIOCON LTD.,BIOCON,INE376G01013
BSE,BIOFIL CHEMICALS & PHARMACEUTI,BIOFILCHEM,INE829A01014
BSE,BIRLA CORPORATION LTD.,BIRLACORPN,INE340A01012
BSE,BIRLANU LIMITED,BIRLANU,INE557A01011
BSE,BIRLASOFT LIMITED,BSOFT,INE836A01035
BSE,BLB LTD.,BLBLIMITED,INE791A01024
BSE,BLISS GVS PHARMA LTD.,BLISSGVS,INE416D01022
BSE,BLS International Services Ltd,BLS,INE153T01027
BSE,BLUE DART EXPRESS LTD.,BLUEDART,INE233B01017
BSE,BLUE STAR LTD.,BLUESTARCO,INE472A01039
BSE,BODAL CHEMICALS LTD.,BODALCHEM,INE338D01028
BSE,BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,INE032A01023
BSE,BOROSIL RENEWABLES LIMITED,BORORENEW,INE666D01022
BSE,BOSCH LTD.,BOSCHLTD,INE323A01026
BSE,BPL LTD.,BPL,INE110A01019
BSE,BRIGADE ENTERPRISES LTD.,BRIGADE,INE791I01019
BSE,BRIGHTCOM GROUP LIMITED,BCG,INE425B01027
BSE,BRITANNIA INDUSTRIES LTD.,BRITANNIA,INE216A01030
BSE,BROOKS LABORATORIES LTD.,BROOKS,INE650L01011
BSE,BSEL ALGO LIMITED,BSELALGO,INE395A01016
BSE,BSL LTD.,BSL,INE594B01012
BSE,BUTTERFLY GANDHIMATHI APPLIANC,BUTTERFLY,INE295F01017
BSE,Balkrishna Paper Mills Ltd.,BALKRISHNA,INE875R01011
BSE,Bandhan Bank Limited,BANDHANBNK,INE545U01014
BSE,Benchmark Computer Solutions L,BENCHMARK,INE0Q2Z01013
BSE,Bharat Road Network Limited,BRNL,INE727S01012
BSE,Bharat Wire Ropes Limited,BHARATWIRE,INE316L01019
BSE,Bigbloc Construction Limited,BIGBLOC,INE412U01025
BSE,Birla Cable Limited,BIRLACABLE,INE800A01015
BSE,Borosil Limited,BOROLTD,INE02PY01013
BSE,C.E. Info Systems Limited,MAPMYINDIA,INE0BV301023
BSE,CALIFORNIA SOFTWARE CO.LTD.,CALSOFT,INE526B01014
BSE,CAMBRIDGE TECHNOLOGY ENTERPRIS,CTE,INE627H01017
BSE,CAN FIN HOMES LTD.,CANFINHOME,INE477A01020
BSE,CAPLIN POINT LABORATORIES LTD.,CAPLIPOINT,INE475E01026
BSE,CAPRIHANS INDIA LTD.,CAPRIHANS,INE479A01018
BSE,CARBORUNDUM UNIVERSAL LTD.,CARBORUNIV,INE120A01034
BSE,CARE Ratings Limited,CARERATING,INE752H01013
